date,country,sentiment_category
1992-08-17,australia,1
1994-09-26,australia,0
1994-11-23,australia,0
1995-09-25,australia,1
1995-10-19,australia,0
1996-07-05,australia,0
1996-08-15,australia,1
1996-09-25,australia,1
1996-11-20,australia,1
1997-08-12,australia,1
1997-09-29,australia,0
1998-09-15,australia,0
1999-11-11,australia,-1
2000-03-14,australia,1
2000-09-11,australia,0
2001-09-18,australia,0
2002-03-22,australia,0
2002-08-21,australia,0
2003-06-06,australia,0
2004-08-25,australia,0
2005-03-23,australia,1
2005-05-07,australia,0
2005-05-12,australia,0
2006-04-28,australia,0
2007-12-11,australia,0
2008-03-14,australia,0
2008-04-15,australia,0
2008-05-15,australia,0
2008-07-09,australia,0
2009-03-25,australia,0
2009-12-08,australia,1
2010-02-08,australia,1
2010-08-17,australia,1
2010-09-20,australia,0
2011-02-11,australia,0
2011-04-14,australia,1
2011-08-26,australia,0
2011-11-24,australia,0
2011-12-08,australia,1
2012-05-28,australia,1
2012-11-30,australia,1
2013-03-26,australia,1
2014-06-10,australia,0
2014-09-25,australia,1
2014-10-23,australia,1
2015-02-09,australia,1
2015-04-28,australia,1
2015-06-30,australia,0
2015-08-26,australia,1
2017-12-13,australia,1
2018-08-21,australia,1
2019-02-22,australia,0
2019-08-09,australia,0
2020-05-28,australia,1
2020-12-07,australia,1
2021-10-22,australia,1
2021-12-09,australia,1
1998-10-27,canada,1
2002-10-05,canada,0
2003-06-11,canada,1
2003-11-03,canada,1
2004-04-22,canada,1
2004-05-18,canada,1
2004-06-24,canada,1
2004-10-21,canada,1
2004-11-24,canada,1
2005-03-21,canada,1
2005-11-28,canada,1
2006-03-30,canada,0
2006-06-29,canada,1
2007-02-01,canada,1
2007-02-20,canada,1
2007-04-12,canada,0
2007-05-15,canada,1
2008-01-08,canada,0
2008-11-10,canada,0
2009-09-23,canada,1
2010-05-26,canada,0
2011-06-06,canada,1
2011-06-20,canada,1
2011-07-22,canada,1
2011-08-23,canada,0
2011-11-02,canada,0
2011-11-14,canada,1
2012-02-07,canada,1
2012-03-26,canada,1
2012-05-07,canada,0
2012-08-21,canada,1
2012-11-07,canada,1
2013-11-07,canada,0
2013-11-07,canada,1
2013-11-19,canada,1
2014-03-24,canada,0
2014-04-02,canada,0
2014-06-27,canada,1
2014-11-13,canada,0
2014-12-11,canada,1
2015-02-17,canada,1
2015-05-05,canada,0
2015-05-14,canada,1
2015-10-27,canada,1
2015-11-13,canada,1
2016-05-06,canada,1
2016-06-17,canada,1
2016-12-08,canada,1
2016-12-15,canada,0
2017-01-31,canada,0
2017-02-09,canada,0
2017-04-07,canada,1
2017-06-28,canada,0
2017-09-14,canada,1
2017-09-14,canada,0
2017-11-15,canada,1
2018-03-01,canada,1
2018-03-08,canada,1
2018-05-09,canada,1
2018-06-18,canada,1
2018-06-27,canada,1
2018-10-01,canada,0
2018-10-25,canada,0
2018-11-19,canada,1
2018-11-20,canada,1
2018-11-29,canada,1
2019-02-21,canada,0
2019-05-06,canada,1
2019-11-12,canada,1
2019-12-12,canada,0
2020-02-25,canada,1
2020-05-01,canada,1
2020-05-01,canada,1
2020-05-01,canada,1
2020-05-25,canada,-1
2020-08-25,canada,1
2020-08-26,canada,1
2020-11-17,canada,1
2020-12-10,canada,1
2021-02-10,canada,1
2021-09-09,canada,0
2021-11-29,canada,1
2021-12-15,canada,1
2022-02-02,canada,1
2022-05-03,canada,1
2022-11-02,canada,1
1997-04-22,euro area,1
1997-04-30,euro area,1
1997-05-13,euro area,1
1997-06-02,euro area,1
1997-06-30,euro area,1
1997-09-12,euro area,1
1997-09-22,euro area,1
1997-10-13,euro area,1
1997-10-22,euro area,1
1997-11-10,euro area,1
1997-11-15,euro area,0
1998-01-16,euro area,1
1998-01-19,euro area,1
1998-01-30,euro area,1
1998-02-16,euro area,1
1998-03-05,euro area,0
1998-06-30,euro area,1
1998-07-08,euro area,1
1998-07-15,euro area,1
1998-09-03,euro area,0
1998-09-18,euro area,1
1998-09-18,euro area,1
1998-09-22,euro area,1
1998-09-23,euro area,1
1998-10-06,euro area,0
1998-11-03,euro area,0
1998-11-06,euro area,1
1998-11-12,euro area,1
1998-11-12,euro area,1
1998-12-01,euro area,0
1998-12-03,euro area,1
1998-12-03,euro area,0
1998-12-04,euro area,1
1998-12-07,euro area,1
1998-12-08,euro area,1
1998-12-22,euro area,1
1998-12-31,euro area,1
1999-01-15,euro area,1
1999-01-18,euro area,0
1999-01-28,euro area,1
1999-02-09,euro area,0
1999-02-24,euro area,0
1999-03-09,euro area,1
1999-03-10,euro area,1
1999-03-17,euro area,0
1999-03-25,euro area,1
1999-04-14,euro area,1
1999-04-15,euro area,0
1999-04-15,euro area,0
1999-04-19,euro area,0
1999-05-03,euro area,1
1999-05-04,euro area,1
1999-05-07,euro area,1
1999-05-20,euro area,1
1999-05-24,euro area,1
1999-05-27,euro area,0
1999-06-17,euro area,0
1999-06-25,euro area,1
1999-06-30,euro area,1
1999-07-19,euro area,1
1999-08-27,euro area,1
1999-09-04,euro area,1
1999-09-10,euro area,1
1999-09-13,euro area,1
1999-09-18,euro area,1
1999-09-20,euro area,0
1999-09-24,euro area,0
1999-09-26,euro area,1
1999-10-11,euro area,1
1999-10-15,euro area,0
1999-10-25,euro area,1
1999-11-11,euro area,1
1999-11-12,euro area,0
1999-11-15,euro area,1
1999-11-16,euro area,1
1999-11-19,euro area,0
1999-11-19,euro area,1
1999-11-29,euro area,1
1999-12-03,euro area,1
1999-12-03,euro area,1
1999-12-03,euro area,0
2000-01-13,euro area,1
2000-02-10,euro area,0
2000-03-08,euro area,0
2000-04-07,euro area,0
2000-04-29,euro area,0
2000-05-05,euro area,1
2000-05-12,euro area,1
2000-05-22,euro area,1
2000-05-30,euro area,1
2000-06-05,euro area,1
2000-06-15,euro area,1
2000-06-20,euro area,1
2000-06-26,euro area,0
2000-06-28,euro area,0
2000-07-05,euro area,1
2000-08-26,euro area,0
2000-09-12,euro area,1
2000-09-17,euro area,1
2000-09-18,euro area,1
2000-09-22,euro area,-1
2000-09-23,euro area,1
2000-09-29,euro area,0
2000-10-12,euro area,1
2000-10-26,euro area,1
2000-11-09,euro area,0
2000-11-17,euro area,1
2000-11-22,euro area,1
2000-11-23,euro area,1
2000-12-01,euro area,0
2000-12-11,euro area,0
2000-12-19,euro area,1
2000-12-21,euro area,1
2001-01-17,euro area,1
2001-01-24,euro area,1
2001-02-02,euro area,1
2001-02-26,euro area,1
2001-03-05,euro area,0
2001-03-06,euro area,0
2001-04-02,euro area,0
2001-05-15,euro area,1
2001-05-18,euro area,1
2001-05-21,euro area,1
2001-05-28,euro area,0
2001-06-08,euro area,1
2001-06-20,euro area,0
2001-06-29,euro area,1
2001-08-30,euro area,1
2001-08-30,euro area,1
2001-09-05,euro area,1
2001-09-12,euro area,0
2001-09-14,euro area,0
2001-09-17,euro area,1
2001-09-18,euro area,1
2001-09-26,euro area,1
2001-10-09,euro area,1
2001-10-15,euro area,1
2001-10-16,euro area,1
2001-10-17,euro area,1
2001-11-14,euro area,1
2001-11-16,euro area,1
2001-11-19,euro area,1
2001-11-22,euro area,1
2001-11-29,euro area,1
2001-12-05,euro area,1
2001-12-17,euro area,0
2001-12-18,euro area,0
2002-01-21,euro area,0
2002-01-24,euro area,1
2002-02-13,euro area,1
2002-02-21,euro area,0
2002-02-28,euro area,0
2002-03-09,euro area,1
2002-03-20,euro area,0
2002-03-26,euro area,1
2002-04-19,euro area,1
2002-04-24,euro area,1
2002-04-29,euro area,1
2002-04-30,euro area,1
2002-05-08,euro area,1
2002-05-09,euro area,1
2002-05-20,euro area,0
2002-05-21,euro area,1
2002-05-24,euro area,1
2002-06-10,euro area,0
2002-06-29,euro area,1
2002-07-05,euro area,-1
2002-07-10,euro area,0
2002-08-30,euro area,0
2002-09-17,euro area,1
2002-10-24,euro area,1
2002-11-11,euro area,1
2002-11-13,euro area,1
2002-11-18,euro area,1
2002-11-22,euro area,1
2002-11-22,euro area,1
2002-11-27,euro area,1
2002-12-02,euro area,0
2002-12-09,euro area,0
2002-12-16,euro area,1
2003-03-10,euro area,1
2003-03-27,euro area,1
2003-03-29,euro area,0
2003-04-02,euro area,1
2003-04-28,euro area,1
2003-05-16,euro area,1
2003-05-23,euro area,0
2003-06-12,euro area,0
2003-06-12,euro area,1
2003-06-13,euro area,0
2003-06-30,euro area,1
2003-07-02,euro area,0
2003-07-07,euro area,1
2003-07-11,euro area,1
2003-08-20,euro area,1
2003-09-05,euro area,1
2003-09-16,euro area,1
2003-10-09,euro area,1
2003-10-13,euro area,1
2003-10-17,euro area,1
2003-10-24,euro area,1
2003-10-27,euro area,1
2003-10-29,euro area,0
2003-11-03,euro area,1
2003-11-03,euro area,1
2003-11-13,euro area,1
2003-12-03,euro area,1
2003-12-10,euro area,1
2004-01-15,euro area,1
2004-01-16,euro area,1
2004-02-02,euro area,1
2004-02-20,euro area,1
2004-02-20,euro area,1
2004-03-04,euro area,1
2004-03-05,euro area,1
2004-03-22,euro area,1
2004-04-05,euro area,0
2004-04-22,euro area,1
2004-04-23,euro area,1
2004-04-26,euro area,1
2004-05-10,euro area,1
2004-05-11,euro area,1
2004-05-12,euro area,0
2004-05-13,euro area,0
2004-05-14,euro area,1
2004-06-23,euro area,1
2004-06-25,euro area,1
2004-06-29,euro area,1
2004-07-09,euro area,1
2004-08-11,euro area,1
2004-09-06,euro area,1
2004-09-10,euro area,0
2004-09-21,euro area,1
2004-10-05,euro area,1
2004-10-20,euro area,0
2004-10-21,euro area,1
2004-10-22,euro area,1
2004-11-03,euro area,1
2004-11-11,euro area,-1
2004-11-11,euro area,1
2004-12-03,euro area,1
2004-12-15,euro area,0
2005-01-20,euro area,1
2005-01-20,euro area,1
2005-01-25,euro area,1
2005-01-28,euro area,1
2005-03-01,euro area,1
2005-03-10,euro area,1
2005-04-25,euro area,1
2005-05-06,euro area,1
2005-05-26,euro area,1
2005-05-31,euro area,1
2005-06-03,euro area,1
2005-06-08,euro area,0
2005-06-16,euro area,1
2005-06-17,euro area,1
2005-06-23,euro area,1
2005-07-06,euro area,1
2005-07-18,euro area,1
2005-08-06,euro area,1
2005-09-30,euro area,1
2005-10-03,euro area,1
2005-10-03,euro area,1
2005-10-10,euro area,0
2005-10-21,euro area,1
2005-10-28,euro area,1
2005-10-28,euro area,1
2005-10-28,euro area,1
2005-11-06,euro area,1
2005-11-15,euro area,1
2005-11-18,euro area,1
2005-11-28,euro area,1
2005-12-08,euro area,0
2005-12-16,euro area,1
2006-01-13,euro area,1
2006-01-18,euro area,0
2006-02-02,euro area,1
2006-02-24,euro area,1
2006-02-27,euro area,1
2006-03-01,euro area,1
2006-03-09,euro area,1
2006-03-16,euro area,1
2006-03-17,euro area,0
2006-03-24,euro area,1
2006-04-03,euro area,1
2006-05-04,euro area,1
2006-05-05,euro area,1
2006-05-05,euro area,1
2006-05-08,euro area,0
2006-05-11,euro area,1
2006-06-07,euro area,1
2006-06-08,euro area,0
2006-06-15,euro area,1
2006-06-29,euro area,1
2006-06-29,euro area,1
2006-07-17,euro area,1
2006-09-07,euro area,1
2006-09-18,euro area,1
2006-09-29,euro area,1
2006-10-04,euro area,-1
2006-10-24,euro area,1
2006-10-26,euro area,1
2006-10-26,euro area,0
2006-10-27,euro area,1
2006-11-09,euro area,0
2006-11-09,euro area,1
2006-11-10,euro area,1
2006-11-10,euro area,1
2006-11-13,euro area,1
2006-11-15,euro area,0
2006-11-17,euro area,1
2006-11-30,euro area,1
2006-11-30,euro area,1
2006-12-01,euro area,0
2006-12-18,euro area,1
2007-01-15,euro area,1
2007-01-19,euro area,1
2007-01-25,euro area,1
2007-02-13,euro area,1
2007-02-16,euro area,1
2007-02-27,euro area,1
2007-03-23,euro area,1
2007-04-18,euro area,1
2007-04-19,euro area,0
2007-05-09,euro area,1
2007-05-15,euro area,1
2007-05-24,euro area,0
2007-06-01,euro area,1
2007-06-01,euro area,1
2007-06-15,euro area,0
2007-06-22,euro area,1
2007-06-28,euro area,0
2007-07-03,euro area,1
2007-07-10,euro area,1
2007-07-12,euro area,1
2007-09-07,euro area,1
2007-09-07,euro area,1
2007-09-21,euro area,1
2007-09-21,euro area,0
2007-09-27,euro area,1
2007-09-30,euro area,1
2007-10-09,euro area,1
2007-10-26,euro area,0
2007-11-12,euro area,0
2007-11-19,euro area,1
2007-11-20,euro area,1
2007-11-20,euro area,-1
2007-11-26,euro area,1
2007-11-30,euro area,1
2007-12-07,euro area,1
2007-12-12,euro area,1
2008-01-16,euro area,1
2008-01-22,euro area,1
2008-01-23,euro area,1
2008-01-24,euro area,0
2008-02-13,euro area,1
2008-02-13,euro area,1
2008-02-25,euro area,1
2008-03-07,euro area,0
2008-03-18,euro area,1
2008-03-20,euro area,1
2008-04-17,euro area,1
2008-04-21,euro area,1
2008-04-24,euro area,1
2008-04-24,euro area,1
2008-04-25,euro area,1
2008-04-29,euro area,1
2008-05-06,euro area,1
2008-05-15,euro area,1
2008-06-02,euro area,1
2008-06-11,euro area,0
2008-06-12,euro area,1
2008-06-16,euro area,1
2008-06-26,euro area,0
2008-09-01,euro area,1
2008-09-03,euro area,0
2008-09-08,euro area,1
2008-09-09,euro area,1
2008-09-11,euro area,1
2008-09-11,euro area,1
2008-09-15,euro area,1
2008-09-21,euro area,1
2008-09-25,euro area,-1
2008-11-12,euro area,1
2008-11-18,euro area,1
2008-11-26,euro area,1
2009-01-09,euro area,-1
2009-02-02,euro area,1
2009-02-12,euro area,0
2009-03-16,euro area,1
2009-03-24,euro area,1
2009-04-03,euro area,1
2009-05-27,euro area,-1
2009-06-04,euro area,1
2009-06-19,euro area,0
2009-06-24,euro area,-1
2009-07-16,euro area,1
2009-07-16,euro area,1
2009-09-04,euro area,0
2009-09-09,euro area,1
2009-09-11,euro area,0
2009-09-16,euro area,0
2009-09-24,euro area,1
2009-09-25,euro area,0
2009-09-30,euro area,1
2009-11-09,euro area,1
2009-11-17,euro area,1
2009-11-17,euro area,1
2009-11-19,euro area,1
2009-12-11,euro area,1
2009-12-27,euro area,1
2010-02-09,euro area,1
2010-02-11,euro area,1
2010-02-24,euro area,-1
2010-02-25,euro area,0
2010-02-26,euro area,0
2010-03-10,euro area,1
2010-03-15,euro area,1
2010-04-12,euro area,1
2010-04-19,euro area,1
2010-05-05,euro area,1
2010-05-06,euro area,1
2010-05-19,euro area,1
2010-06-11,euro area,1
2010-06-14,euro area,1
2010-07-09,euro area,0
2010-09-03,euro area,0
2010-09-19,euro area,1
2010-09-27,euro area,1
2010-09-27,euro area,0
2010-09-29,euro area,1
2010-09-29,euro area,0
2010-09-29,euro area,1
2010-10-08,euro area,-1
2010-10-18,euro area,1
2010-10-19,euro area,1
2010-10-20,euro area,1
2010-10-25,euro area,0
2010-11-15,euro area,1
2010-11-16,euro area,1
2010-11-18,euro area,0
2010-11-19,euro area,1
2010-11-25,euro area,1
2010-12-08,euro area,1
2011-01-28,euro area,0
2011-02-01,euro area,1
2011-02-11,euro area,1
2011-02-18,euro area,1
2011-03-04,euro area,0
2011-03-10,euro area,1
2011-03-11,euro area,1
2011-03-23,euro area,1
2011-04-04,euro area,1
2011-04-12,euro area,1
2011-05-23,euro area,0
2011-06-15,euro area,-1
2011-06-16,euro area,0
2011-06-27,euro area,1
2011-07-08,euro area,-1
2011-07-22,euro area,1
2011-08-31,euro area,1
2011-09-15,euro area,-1
2011-09-16,euro area,1
2011-10-05,euro area,0
2011-10-17,euro area,-1
2011-10-21,euro area,0
2011-10-24,euro area,1
2011-11-10,euro area,-1
2011-11-14,euro area,1
2011-11-15,euro area,0
2011-12-01,euro area,0
2011-12-19,euro area,1
2012-04-17,euro area,1
2012-04-17,euro area,0
2012-04-27,euro area,1
2012-05-08,euro area,1
2012-06-01,euro area,1
2012-06-14,euro area,1
2012-07-06,euro area,0
2012-07-17,euro area,0
2012-07-26,euro area,1
2012-09-06,euro area,1
2012-09-07,euro area,0
2012-09-11,euro area,0
2012-10-01,euro area,1
2012-10-10,euro area,0
2012-10-13,euro area,1
2012-10-22,euro area,1
2012-10-26,euro area,0
2012-10-30,euro area,0
2012-11-19,euro area,0
2012-11-21,euro area,1
2012-12-01,euro area,0
2012-12-03,euro area,1
2012-12-06,euro area,-1
2013-01-10,euro area,1
2013-01-29,euro area,1
2013-01-31,euro area,1
2013-02-07,euro area,1
2013-02-12,euro area,1
2013-02-13,euro area,1
2013-02-27,euro area,0
2013-03-04,euro area,1
2013-03-20,euro area,0
2013-03-25,euro area,1
2013-04-05,euro area,0
2013-05-03,euro area,1
2013-05-06,euro area,0
2013-05-23,euro area,1
2013-05-24,euro area,1
2013-06-26,euro area,1
2013-06-27,euro area,0
2013-08-06,euro area,0
2013-09-04,euro area,1
2013-09-06,euro area,0
2013-09-11,euro area,0
2013-09-26,euro area,1
2013-09-26,euro area,1
2013-09-27,euro area,0
2013-09-30,euro area,0
2013-10-03,euro area,0
2013-10-09,euro area,1
2013-10-12,euro area,1
2013-10-17,euro area,1
2013-10-25,euro area,1
2013-11-08,euro area,1
2013-11-12,euro area,1
2013-11-18,euro area,0
2013-11-22,euro area,1
2013-11-28,euro area,1
2013-12-09,euro area,1
2013-12-10,euro area,1
2014-01-15,euro area,0
2014-02-03,euro area,1
2014-03-24,euro area,1
2014-03-31,euro area,1
2014-04-13,euro area,0
2014-05-14,euro area,0
2014-05-23,euro area,1
2014-05-27,euro area,0
2014-05-31,euro area,0
2014-06-04,euro area,1
2014-06-11,euro area,1
2014-06-23,euro area,1
2014-06-24,euro area,0
2014-09-03,euro area,1
2014-09-08,euro area,0
2014-09-08,euro area,1
2014-09-30,euro area,0
2014-10-17,euro area,0
2014-10-22,euro area,0
2014-10-22,euro area,1
2014-11-24,euro area,0
2014-11-29,euro area,-1
2014-12-19,euro area,0
2015-01-25,euro area,1
2015-02-24,euro area,1
2015-03-16,euro area,1
2015-03-18,euro area,1
2015-03-23,euro area,1
2015-03-31,euro area,1
2015-04-11,euro area,0
2015-04-21,euro area,0
2015-04-24,euro area,1
2015-06-04,euro area,0
2015-06-16,euro area,1
2015-07-02,euro area,1
2015-07-03,euro area,1
2015-09-10,euro area,0
2015-09-10,euro area,1
2015-09-24,euro area,-1
2015-10-01,euro area,0
2015-10-06,euro area,1
2015-10-14,euro area,1
2015-10-16,euro area,1
2015-10-20,euro area,1
2015-10-26,euro area,1
2015-10-29,euro area,0
2015-11-02,euro area,1
2015-11-02,euro area,0
2015-11-04,euro area,0
2015-11-04,euro area,0
2015-11-12,euro area,1
2015-11-16,euro area,0
2015-11-17,euro area,1
2015-11-18,euro area,1
2015-11-22,euro area,0
2016-01-13,euro area,1
2016-01-13,euro area,1
2016-01-25,euro area,1
2016-01-27,euro area,1
2016-01-27,euro area,0
2016-02-01,euro area,0
2016-02-04,euro area,-1
2016-02-16,euro area,1
2016-02-22,euro area,0
2016-03-01,euro area,1
2016-03-22,euro area,1
2016-04-25,euro area,1
2016-04-26,euro area,1
2016-05-02,euro area,0
2016-06-01,euro area,0
2016-06-06,euro area,1
2016-06-06,euro area,1
